hand,num_opponents,equity,iters
22,1,0.502845,200000
22,2,0.307294,200000
22,3,0.218396,200000
22,4,0.176953,200000
22,5,0.155899,200000
22,6,0.141774,200000
22,7,0.133147,200000
22,8,0.127084,200000
32o,1,0.322802,200000
32o,2,0.197751,200000
32o,3,0.139435,200000
32o,4,0.108015,200000
32o,5,0.08979,200000
32o,6,0.077364,200000
32o,7,0.067583,200000
32o,8,0.061184,200000
32s,1,0.359825,200000
32s,2,0.237841,200000
32s,3,0.183164,200000
32s,4,0.151753,200000
32s,5,0.13167,200000
32s,6,0.117341,200000
32s,7,0.105439,200000
32s,8,0.09843,200000
33,1,0.53735,200000
33,2,0.33548,200000
33,3,0.240327,200000
33,4,0.191081,200000
33,5,0.163253,200000
33,6,0.147142,200000
33,7,0.134122,200000
33,8,0.126467,200000
42o,1,0.332587,200000
42o,2,0.206593,200000
42o,3,0.147822,200000
42o,4,0.116125,200000
42o,5,0.096896,200000
42o,6,0.082293,200000
42o,7,0.073031,200000
42o,8,0.066767,200000
42s,1,0.36762,200000
42s,2,0.245539,200000
42s,3,0.189727,200000
42s,4,0.156852,200000
42s,5,0.136103,200000
42s,6,0.122543,200000
42s,7,0.112381,200000
42s,8,0.102787,200000
43o,1,0.35037,200000
43o,2,0.225118,200000
43o,3,0.163273,200000
43o,4,0.129196,200000
43o,5,0.107698,200000
43o,6,0.09269,200000
43o,7,0.082908,200000
43o,8,0.075413,200000
43s,1,0.385008,200000
43s,2,0.265758,200000
43s,3,0.204885,200000
43s,4,0.169817,200000
43s,5,0.147942,200000
43s,6,0.132382,200000
43s,7,0.120337,200000
43s,8,0.111573,200000
44,1,0.567405,200000
44,2,0.368663,200000
44,3,0.26189,200000
44,4,0.205767,200000
44,5,0.172707,200000
44,6,0.150199,200000
44,7,0.139901,200000
44,8,0.130095,200000
52o,1,0.344577,200000
52o,2,0.215873,200000
52o,3,0.154399,200000
52o,4,0.120231,200000
52o,5,0.100228,200000
52o,6,0.086172,200000
52o,7,0.075787,200000
52o,8,0.068019,200000
52s,1,0.379038,200000
52s,2,0.254265,200000
52s,3,0.195563,200000
52s,4,0.161418,200000
52s,5,0.14086,200000
52s,6,0.126774,200000
