Scanning /Users/ihomin/Documents/blab/holdem-agent/data/raw/poker max_files=None max_per=None mc=120
  scanned=20000 showdown=3992 recs=44387
  scanned=40000 showdown=7905 recs=89559
  scanned=60000 showdown=10589 recs=133775
  scanned=80000 showdown=13361 recs=174489
  scanned=100000 showdown=17411 recs=222125
  scanned=120000 showdown=21008 recs=267542
  scanned=140000 showdown=24714 recs=314848
  scanned=160000 showdown=27527 recs=358310
  scanned=180000 showdown=29097 recs=387001
  scanned=200000 showdown=31945 recs=421594
  scanned=220000 showdown=35112 recs=453259
  scanned=240000 showdown=37821 recs=495337
  scanned=260000 showdown=41181 recs=540931
  scanned=280000 showdown=44631 recs=585489
  scanned=300000 showdown=48203 recs=632316
  scanned=320000 showdown=50458 recs=677543
  scanned=340000 showdown=52796 recs=718582
  scanned=360000 showdown=56594 recs=768220
  scanned=380000 showdown=60037 recs=815888
  scanned=400000 showdown=63343 recs=864433
  scanned=420000 showdown=65579 recs=909033
  scanned=440000 showdown=66920 recs=938025
  scanned=460000 showdown=69743 recs=973264
  scanned=480000 showdown=72398 recs=1008563
  scanned=500000 showdown=75079 recs=1053296
  scanned=520000 showdown=78583 recs=1100990
  scanned=540000 showdown=81558 recs=1147301
  scanned=560000 showdown=83858 recs=1194091
  scanned=580000 showdown=86845 recs=1240192
  scanned=600000 showdown=90583 recs=1290196
  scanned=620000 showdown=93833 recs=1338985
  scanned=640000 showdown=96624 recs=1388675
  scanned=660000 showdown=98652 recs=1432223
  scanned=680000 showdown=100705 recs=1463598
  scanned=700000 showdown=103983 recs=1499381
  scanned=720000 showdown=106854 recs=1535441
  scanned=740000 showdown=109102 recs=1581986
  scanned=760000 showdown=112274 recs=1631983
  scanned=780000 showdown=115095 recs=1677933
  scanned=800000 showdown=116954 recs=1723058
  scanned=820000 showdown=119628 recs=1773633
  scanned=840000 showdown=122068 recs=1822306
  scanned=860000 showdown=123995 recs=1871093
  scanned=880000 showdown=125392 recs=1913349
  scanned=900000 showdown=126803 recs=1944259
  scanned=920000 showdown=129207 recs=1979240
  scanned=940000 showdown=130858 recs=2019865
  scanned=960000 showdown=132581 recs=2070803
  scanned=980000 showdown=134603 recs=2120510
  scanned=1000000 showdown=137156 recs=2166819
  scanned=1020000 showdown=139924 recs=2211246
  scanned=1040000 showdown=142351 recs=2255109
  scanned=1060000 showdown=144371 recs=2299700
  scanned=1080000 showdown=145591 recs=2332547
  scanned=1100000 showdown=147409 recs=2364054
  scanned=1120000 showdown=149587 recs=2395159
  scanned=1140000 showdown=151495 recs=2431999
  scanned=1160000 showdown=154008 recs=2476552
  scanned=1180000 showdown=156722 recs=2520108
  scanned=1200000 showdown=160524 recs=2568855
  scanned=1220000 showdown=164592 recs=2622411
  scanned=1240000 showdown=166951 recs=2661596
  scanned=1260000 showdown=169695 recs=2697961
  scanned=1280000 showdown=173191 recs=2734231
  scanned=1300000 showdown=176253 recs=2778266
  scanned=1320000 showdown=179679 recs=2831067
  scanned=1340000 showdown=183582 recs=2883534
  scanned=1360000 showdown=185939 recs=2921496
  scanned=1380000 showdown=188527 recs=2957055
  scanned=1400000 showdown=191499 recs=2995159
  scanned=1420000 showdown=194015 recs=3044665
  scanned=1440000 showdown=196962 recs=3098051
  scanned=1460000 showdown=200169 recs=3148404
  scanned=1480000 showdown=203402 recs=3195099
  scanned=1500000 showdown=205350 recs=3225521
  scanned=1520000 showdown=208659 recs=3260134
  scanned=1540000 showdown=211482 recs=3304681
  scanned=1560000 showdown=214865 recs=3356164
  scanned=1580000 showdown=218515 recs=3405617
  scanned=1600000 showdown=221838 recs=3455640
  scanned=1620000 showdown=225085 recs=3502466
  scanned=1640000 showdown=228003 recs=3550583
  scanned=1660000 showdown=229622 recs=3582687
  scanned=1680000 showdown=232281 recs=3616773
  scanned=1700000 showdown=235072 recs=3647414
  scanned=1720000 showdown=236855 recs=3691059
  scanned=1740000 showdown=238217 recs=3743290
  scanned=1760000 showdown=240272 recs=3791854
  scanned=1780000 showdown=241515 recs=3824014
  scanned=1800000 showdown=242565 recs=3853215
  scanned=1820000 showdown=243702 recs=3882393
  scanned=1840000 showdown=245230 recs=3906976
  scanned=1860000 showdown=247828 recs=3931299
  scanned=1880000 showdown=250258 recs=3964098
  scanned=1900000 showdown=252946 recs=4001575
  scanned=1920000 showdown=255753 recs=4037662
  scanned=1940000 showdown=257997 recs=4062371
  scanned=1960000 showdown=260447 recs=4094053
  scanned=1980000 showdown=262688 recs=4125876
  scanned=2000000 showdown=265388 recs=4157696
  scanned=2020000 showdown=267477 recs=4202204
  scanned=2040000 showdown=269308 recs=4249704
Done. total_hands=2059400 showdown=272602 records=4298389
Wrote records: /Users/ihomin/Documents/blab/holdem-agent/data/bluff_decisions.csv
Wrote report: /Users/ihomin/Documents/blab/holdem-agent/data/bluff_threshold_report.json
  [turn] n=605340 mean=0.523 p25=0.142 p50=0.588 p75=0.900
  [flop] n=1174956 mean=0.544 p25=0.242 p50=0.617 p75=0.817
  [river] n=278186 mean=0.548 p25=0.000 p50=1.000 p75=1.000
  theta suggestion: {'river_p10': 0.0, 'river_p15': 0.0, 'river_p20': 0.0, 'river_p80': 1.0, 'river_p85': 1.0, 'river_p90': 1.0}
